,call_type,unit_type,latitude,longitude
6887,Structure Fire,TRUCK,37.7618358554,-122.4193592685
9823,Structure Fire,INVESTIGATION,37.7650513382,-122.41966897389999
2628,Structure Fire,TRUCK,37.7944797173,-122.3947475803
885,Structure Fire,TRUCK,37.7697978509,-122.4485788148
4991,Structure Fire,CHIEF,37.7892141357,-122.4464639892
6779,Structure Fire,MEDIC,37.748237394,-122.4091747167
7235,Structure Fire,ENGINE,37.7851285057,-122.4144553687
2621,Structure Fire,TRUCK,37.786409613800004,-122.40803623629999
6771,Structure Fire,ENGINE,37.7851285057,-122.4144553687
906,Structure Fire,ENGINE,37.7689033402,-122.45183913870001
9847,Structure Fire,ENGINE,37.7697978509,-122.4485788148
899,Structure Fire,ENGINE,37.7403329887,-122.46644858239999
2623,Structure Fire,ENGINE,37.7537685477,-122.48718301209999
896,Structure Fire,TRUCK,37.781595587199995,-122.4121906699
895,Structure Fire,ENGINE,37.738239292399996,-122.5000577788
5472,Structure Fire,TRUCK,37.7949460514,-122.4291558531
152,Structure Fire,ENGINE,37.7986027829,-122.42314860209999
9053,Structure Fire,CHIEF,37.7917690748,-122.4294268467
3051,Structure Fire,ENGINE,37.726236245,-122.4336235923
2923,Structure Fire,ENGINE,37.766428605,-122.45210996360001
891,Structure Fire,CHIEF,37.7113797074,-122.45034108440001
9832,Structure Fire,ENGINE,37.7331175479,-122.45764100299999
9830,Structure Fire,ENGINE,37.7269256804,-122.43096518760001
902,Structure Fire,ENGINE,37.7878721677,-122.4116992333
888,Structure Fire,ENGINE,37.7403329887,-122.46644858239999
4976,Structure Fire,MEDIC,37.7892141357,-122.4464639892
3048,Structure Fire,MEDIC,37.8044072929,-122.4133588631
6905,Structure Fire,SUPPORT,37.7956493532,-122.4132086268
9076,Structure Fire,MEDIC,37.7723719321,-122.4321178771
9446,Structure Fire,ENGINE,37.7121958423,-122.4208388501
7226,Structure Fire,RESCUE SQUAD,37.7904949924,-122.4087846268
6916,Structure Fire,TRUCK,37.731677271799995,-122.39899409200001
9779,Structure Fire,ENGINE,37.7650513382,-122.41966897389999
208,Structure Fire,CHIEF,37.755998442,-122.4094330698
6587,Structure Fire,TRUCK,37.729896036599996,-122.4561633416
6761,Structure Fire,SUPPORT,37.7956493532,-122.4132086268
7199,Structure Fire,TRUCK,37.7956493532,-122.4132086268
9131,Structure Fire,CHIEF,37.7807920803,-122.4083857455
5021,Structure Fire,TRUCK,37.7690761306,-122.4471672894
6922,Structure Fire,CHIEF,37.748237394,-122.4091747167
6925,Structure Fire,TRUCK,37.7804578378,-122.4286905391
2661,Structure Fire,TRUCK,37.805310937899996,-122.4126983591
7195,Structure Fire,RESCUE SQUAD,37.8008661593,-122.4354271774
9761,Structure Fire,TRUCK,37.7782510165,-122.4198832316
6927,Structure Fire,TRUCK,37.8008661593,-122.4354271774
5427,Structure Fire,TRUCK,37.7702101749,-122.4453449892
226,Structure Fire,MEDIC,37.770259234,-122.4318322999
7193,Structure Fire,ENGINE,37.7804578378,-122.4286905391
9139,Structure Fire,TRUCK,37.7807920803,-122.4083857455
822,Structure Fire,TRUCK,37.774283836500004,-122.4670880868
819,Structure Fire,MEDIC,37.774283836500004,-122.4670880868
9753,Structure Fire,MEDIC,37.7862684417,-122.41299723590001
5421,Structure Fire,ENGINE,37.7352738344,-122.39141347030001
9752,Structure Fire,CHIEF,37.7661343875,-122.42193507719999
4742,Structure Fire,CHIEF,37.7892141357,-122.4464639892
233,Structure Fire,CHIEF,37.8076904932,-122.4123295588
813,Structure Fire,ENGINE,37.786409613800004,-122.40803623629999
812,Structure Fire,ENGINE,37.7833590027,-122.416694944
6915,Structure Fire,CHIEF,37.7904949924,-122.4087846268
202,Structure Fire,TRUCK,37.7904950228,-122.40235333700001
9119,Structure Fire,ENGINE,37.7723719321,-122.4321178771
5010,Structure Fire,ENGINE,37.7875021793,-122.45278022049999
879,Structure Fire,TRUCK,37.7451009984,-122.39218234129999
3057,Structure Fire,MEDIC,37.7848662437,-122.4127821283
877,Structure Fire,RESCUE SQUAD,37.7113797074,-122.45034108440001
171,Structure Fire,ENGINE,37.8076904932,-122.4123295588
9811,Structure Fire,ENGINE,37.7860598457,-122.4146435929
7223,Structure Fire,RESCUE SQUAD,37.7956493532,-122.4132086268
9808,Structure Fire,MEDIC,37.7661343875,-122.42193507719999
174,Structure Fire,TRUCK,37.786409613800004,-122.40803623629999
6783,Structure Fire,CHIEF,37.731677271799995,-122.39899409200001
4766,Structure Fire,CHIEF,37.7875021793,-122.45278022049999
177,Structure Fire,CHIEF,37.755998442,-122.4094330698
5003,Structure Fire,ENGINE,37.7875021793,-122.45278022049999
5004,Structure Fire,ENGINE,37.743923082100004,-122.43720578
883,Structure Fire,ENGINE,37.7113797074,-122.45034108440001
186,Structure Fire,MEDIC,37.7833590027,-122.416694944
860,Structure Fire,ENGINE,37.7451091083,-122.4714885964
4763,Structure Fire,CHIEF,37.7345987087,-122.39034455049999
9103,Structure Fire,CHIEF,37.764836265700005,-122.469656988
5445,Structure Fire,TRUCK,37.777104530500004,-122.3927504061
9794,Structure Fire,TRUCK,37.7331175479,-122.45764100299999
7207,Structure Fire,TRUCK,37.8008661593,-122.4354271774
9791,Structure Fire,ENGINE,37.7661343875,-122.42193507719999
848,Structure Fire,CHIEF,37.7655967523,-122.4477975209
2649,Structure Fire,TRUCK,37.8044072929,-122.4133588631
9111,Structure Fire,RESCUE SQUAD,37.7219049199,-122.4546170251
9113,Structure Fire,ENGINE,37.7807920803,-122.4083857455
9117,Structure Fire,RESCUE SQUAD,37.782723970300005,-122.396167865
5009,Structure Fire,RESCUE SQUAD,37.7690761306,-122.4471672894
3226,Structure Fire,ENGINE,37.7944797173,-122.3947475803
4294,Structure Fire,CHIEF,37.743923082100004,-122.43720578
936,Structure Fire,TRUCK,37.7113797074,-122.45034108440001
4802,Structure Fire,MEDIC,37.743923082100004,-122.43720578
1021,Structure Fire,CHIEF,37.7857402819,-122.4138042679
1020,Structure Fire,CHIEF,37.7689033402,-122.45183913870001
4226,Structure Fire,TRUCK,37.7271683911,-122.4368054927
5545,Structure Fire,CHIEF,37.7352738344,-122.39141347030001
7282,Structure Fire,ENGINE,37.7904949924,-122.4087846268
8939,Structure Fire,RESCUE SQUAD,37.7807920803,-122.4083857455
9951,Structure Fire,ENGINE,37.7862684417,-122.41299723590001
1013,Structure Fire,TRUCK,37.7717364636,-122.4236734117
2574,Structure Fire,CHIEF,37.766428605,-122.45210996360001
3272,Structure Fire,TRUCK,37.805310937899996,-122.4126983591
6805,Structure Fire,RESCUE SQUAD,37.7851285057,-122.4144553687
9943,Structure Fire,RESCUE SQUAD,37.7862684417,-122.41299723590001
1004,Structure Fire,ENGINE,37.7717364636,-122.4236734117
3021,Structure Fire,TRUCK,37.786409613800004,-122.40803623629999
1003,Structure Fire,ENGINE,37.7857402819,-122.4138042679
9941,Structure Fire,TRUCK,37.7121958423,-122.4208388501
3031,Structure Fire,ENGINE,37.786409613800004,-122.40803623629999
6801,Structure Fire,ENGINE,37.7956493532,-122.4132086268
51,Structure Fire,ENGINE,37.7986027829,-122.42314860209999
4243,Structure Fire,RESCUE SQUAD,37.7637491607,-122.4942673831
6854,Structure Fire,MEDIC,37.7904949924,-122.4087846268
8956,Structure Fire,ENGINE,37.7917690748,-122.4294268467
2581,Structure Fire,RESCUE SQUAD,37.7848662437,-122.4127821283
6800,Structure Fire,ENGINE,37.8008661593,-122.4354271774
6856,Structure Fire,ENGINE,37.7956493532,-122.4132086268
990,Structure Fire,ENGINE,37.7113797074,-122.45034108440001
6857,Structure Fire,CHIEF,37.7866710638,-122.4509262583
8965,Structure Fire,TRUCK,37.7872979199,-122.4098339402
4235,Structure Fire,ENGINE,37.786409613800004,-122.40803623629999
58,Structure Fire,TRUCK,37.7986027829,-122.42314860209999
5549,Structure Fire,TRUCK,37.7498363176,-122.41828053889999
9960,Structure Fire,ENGINE,37.7331175479,-122.45764100299999
4196,Structure Fire,ENGINE,37.7637491607,-122.4942673831
4882,Structure Fire,TRUCK,37.7637491607,-122.4942673831
2558,Structure Fire,ENGINE,37.805310937899996,-122.4126983591
6,Structure Fire,ENGINE,37.7833590027,-122.416694944
6821,Structure Fire,PRIVATE,37.748237394,-122.4091747167
6832,Structure Fire,CHIEF,37.7904949924,-122.4087846268
1051,Structure Fire,TRUCK,37.738239292399996,-122.5000577788
1050,Structure Fire,MEDIC,37.738239292399996,-122.5000577788
7298,Structure Fire,CHIEF,37.731677271799995,-122.39899409200001
1045,Structure Fire,MEDIC,37.7655967523,-122.4477975209
1044,Structure Fire,CHIEF,37.7878721677,-122.4116992333
2996,Structure Fire,TRUCK,37.726236245,-122.4336235923
1041,Structure Fire,TRUCK,37.7403329887,-122.46644858239999
32,Structure Fire,ENGINE,37.770259234,-122.4318322999
1040,Structure Fire,ENGINE,37.7403329887,-122.46644858239999
4891,Structure Fire,RESCUE SQUAD,37.7875021793,-122.45278022049999
9980,Structure Fire,ENGINE,37.7661343875,-122.42193507719999
8916,Structure Fire,TRUCK,37.7917690748,-122.4294268467
19,Structure Fire,TRUCK,37.7833590027,-122.416694944
4868,Structure Fire,TRUCK,37.726236245,-122.4336235923
1032,Structure Fire,ENGINE,37.7717364636,-122.4236734117
4894,Structure Fire,ENGINE,37.726236245,-122.4336235923
2992,Structure Fire,ENGINE,37.7848662437,-122.4127821283
9967,Structure Fire,CHIEF,37.7661343875,-122.42193507719999
9966,Structure Fire,TRUCK,37.7764643063,-122.4262633449
9964,Structure Fire,TRUCK,37.7862684417,-122.41299723590001
3017,Structure Fire,TRUCK,37.786409613800004,-122.40803623629999
4222,Structure Fire,TRUCK,37.7790321327,-122.40184327440001
15,Structure Fire,RESCUE SQUAD,37.7852173616,-122.4170696114
6859,Structure Fire,MEDIC,37.7851285057,-122.4144553687
983,Structure Fire,ENGINE,37.781595587199995,-122.4121906699
8973,Structure Fire,ENGINE,37.764836265700005,-122.469656988
4947,Structure Fire,CHIEF,37.7345987087,-122.39034455049999
9011,Structure Fire,TRUCK,37.782723970300005,-122.396167865
5501,Structure Fire,CHIEF,37.777104530500004,-122.3927504061
6789,Structure Fire,MEDIC,37.7956493532,-122.4132086268
2950,Structure Fire,ENGINE,37.7848662437,-122.4127821283
100,Structure Fire,CHIEF,37.7904950228,-122.40235333700001
9015,Structure Fire,CHIEF,37.782723970300005,-122.396167865
4277,Structure Fire,ENGINE,37.7690761306,-122.4471672894
6788,Structure Fire,ENGINE,37.7851285057,-122.4144553687
939,Structure Fire,TRUCK,37.7451091083,-122.4714885964
9885,Structure Fire,CHIEF,37.7121958423,-122.4208388501
9884,Structure Fire,TRUCK,37.7697978509,-122.4485788148
6753,Structure Fire,ENGINE,37.748237394,-122.4091747167
9008,Structure Fire,TRUCK,37.8078031175,-122.4190860681
935,Structure Fire,TRUCK,37.7334230297,-122.482013815
932,Structure Fire,RESCUE SQUAD,37.7689033402,-122.45183913870001
4284,Structure Fire,ENGINE,37.7271683911,-122.4368054927
929,Structure Fire,CHIEF,37.7403329887,-122.46644858239999
2610,Structure Fire,ENGINE,37.7848662437,-122.4127821283
4287,Structure Fire,MEDIC,37.7637491607,-122.4942673831
923,Structure Fire,RESCUE SQUAD,37.7857402819,-122.4138042679
6558,Structure Fire,CHIEF,37.7777124404,-122.4127367074
9880,Structure Fire,MEDIC,37.7331175479,-122.45764100299999
108,Structure Fire,CHIEF,37.7986027829,-122.42314860209999
6882,Structure Fire,MEDIC,37.8008661593,-122.4354271774
4959,Structure Fire,MEDIC,37.7875021793,-122.45278022049999
9040,Structure Fire,CHIEF,37.7917690748,-122.4294268467
6884,Structure Fire,ENGINE,37.7909199784,-122.4325616508
104,Structure Fire,ENGINE,37.774283836500004,-122.4670880868
4816,Structure Fire,TRUCK,37.7892141357,-122.4464639892
6790,Structure Fire,ENGINE,37.7956493532,-122.4132086268
9006,Structure Fire,ENGINE,37.7219049199,-122.4546170251
3261,Structure Fire,CHIEF,37.805310937899996,-122.4126983591
979,Structure Fire,CHIEF,37.7403329887,-122.46644858239999
4837,Structure Fire,ENGINE,37.7345987087,-122.39034455049999
6799,Structure Fire,MEDIC,37.7866710638,-122.4509262583
975,Structure Fire,PRIVATE,37.7403329887,-122.46644858239999
974,Structure Fire,PRIVATE,37.7403329887,-122.46644858239999
6861,Structure Fire,CHIEF,37.7904949924,-122.4087846268
970,Structure Fire,CHIEF,37.7403329887,-122.46644858239999
4255,Structure Fire,CHIEF,37.7892141357,-122.4464639892
9924,Structure Fire,CHIEF,37.7331175479,-122.45764100299999
7264,Structure Fire,TRUCK,37.7893692677,-122.3918582914
964,Structure Fire,ENGINE,37.7978223016,-122.4070161645
8992,Structure Fire,CHIEF,37.764836265700005,-122.469656988
8993,Structure Fire,TRUCK,37.7753322431,-122.3972063106
6864,Structure Fire,ENGINE,37.731677271799995,-122.39899409200001
7263,Structure Fire,TRUCK,37.7866710638,-122.4509262583
72,Structure Fire,CHIEF,37.774283836500004,-122.4670880868
7261,Structure Fire,CHIEF,37.7956493532,-122.4132086268
6866,Structure Fire,RESCUE SQUAD,37.731677271799995,-122.39899409200001
3256,Structure Fire,CHIEF,37.805310937899996,-122.4126983591
9000,Structure Fire,TRUCK,37.752239455,-122.41844527290002
2962,Structure Fire,ENGINE,37.805310937899996,-122.4126983591
75,Structure Fire,SUPPORT,37.770259234,-122.4318322999
5508,Structure Fire,TRUCK,37.773100586999995,-122.41556138989999
78,Structure Fire,RESCUE SQUAD,37.770259234,-122.4318322999
3035,Structure Fire,ENGINE,37.8044072929,-122.4133588631
6793,Structure Fire,TRUCK,37.7904949924,-122.4087846268
2957,Structure Fire,CHIEF,37.766428605,-122.45210996360001
9900,Structure Fire,ENGINE,37.7860598457,-122.4146435929
4293,Structure Fire,CHIEF,37.7637491607,-122.4942673831
5036,Structure Fire,CHIEF,37.7637491607,-122.4942673831
2673,Structure Fire,ENGINE,37.795312940900004,-122.3979747506
9155,Structure Fire,CHIEF,37.7807920803,-122.4083857455
2740,Structure Fire,CHIEF,37.7848662437,-122.4127821283
434,Structure Fire,ENGINE,37.774283836500004,-122.4670880868
3166,Structure Fire,MEDIC,37.805310937899996,-122.4126983591
7096,Structure Fire,CHIEF,37.7904949924,-122.4087846268
7023,Structure Fire,TRUCK,37.7800186669,-122.4169261749
5173,Structure Fire,RESCUE SQUAD,37.777104530500004,-122.3927504061
9343,Structure Fire,ENGINE,37.7860598457,-122.4146435929
7095,Structure Fire,CHIEF,37.7956493532,-122.4132086268
622,Structure Fire,ENGINE,37.7904950228,-122.40235333700001
620,Structure Fire,TRUCK,37.7833590027,-122.416694944
9348,Structure Fire,ENGINE,37.7782510165,-122.4198832316
447,Structure Fire,RESCUE SQUAD,37.7904950228,-122.40235333700001
4486,Structure Fire,MEDIC,37.7345987087,-122.39034455049999
433,Structure Fire,MEDIC,37.7904950228,-122.40235333700001
9525,Structure Fire,TRUCK,37.7661343875,-122.42193507719999
4587,Structure Fire,ENGINE,37.743923082100004,-122.43720578
456,Structure Fire,ENGINE,37.7852173616,-122.4170696114
612,Structure Fire,TRUCK,37.770259234,-122.4318322999
4583,Structure Fire,TRUCK,37.7637491607,-122.4942673831
5279,Structure Fire,CHIEF,37.7352738344,-122.39141347030001
2747,Structure Fire,ENGINE,37.8044072929,-122.4133588631
463,Structure Fire,TRUCK,37.7887868949,-122.4270596733
4492,Structure Fire,MEDIC,37.7690761306,-122.4471672894
606,Structure Fire,TRUCK,37.786409613800004,-122.40803623629999
4582,Structure Fire,TRUCK,37.7796660426,-122.4137112207
7090,Structure Fire,ENGINE,37.748237394,-122.4091747167
5190,Structure Fire,ENGINE,37.7702101749,-122.4453449892
2802,Structure Fire,ENGINE,37.786409613800004,-122.40803623629999
5177,Structure Fire,ENGINE,37.777104530500004,-122.3927504061
426,Structure Fire,CHIEF,37.7904950228,-122.40235333700001
630,Structure Fire,ENGINE,37.7752720593,-122.41590818120001
6643,Structure Fire,TRUCK,37.7800186669,-122.4169261749
7001,Structure Fire,RESCUE SQUAD,37.748237394,-122.4091747167
5319,Structure Fire,CHIEF,37.777104530500004,-122.3927504061
9581,Structure Fire,CHIEF,37.7121958423,-122.4208388501
9304,Structure Fire,CHIEF,37.7862684417,-122.41299723590001
389,Structure Fire,TRUCK,37.7904950228,-122.40235333700001
659,Structure Fire,TRUCK,37.7752720593,-122.41590818120001
6708,Structure Fire,CHIEF,37.7956493532,-122.4132086268
9576,Structure Fire,RESCUE SQUAD,37.7661343875,-122.42193507719999
658,Structure Fire,TRUCK,37.755998442,-122.4094330698
7005,Structure Fire,CHIEF,37.748237394,-122.4091747167
4456,Structure Fire,RESCUE SQUAD,37.7345987087,-122.39034455049999
7117,Structure Fire,CHIEF,37.7804578378,-122.4286905391
395,Structure Fire,TRUCK,37.786409613800004,-122.40803623629999
7114,Structure Fire,TRUCK,37.7904949924,-122.4087846268
9316,Structure Fire,CHIEF,37.7331175479,-122.45764100299999
7009,Structure Fire,ENGINE,37.7904949924,-122.4087846268
4612,Structure Fire,ENGINE,37.7690761306,-122.4471672894
9318,Structure Fire,TRUCK,37.7860598457,-122.4146435929
4462,Structure Fire,ENGINE,37.7637491607,-122.4942673831
407,Structure Fire,ENGINE,37.755998442,-122.4094330698
2823,Structure Fire,RESCUE SQUAD,37.766428605,-122.45210996360001
4607,Structure Fire,TRUCK,37.7892141357,-122.4464639892
4605,Structure Fire,RESCUE SQUAD,37.743923082100004,-122.43720578
7109,Structure Fire,SUPPORT,37.7956493532,-122.4132086268
421,Structure Fire,CHIEF,37.7852173616,-122.4170696114
9330,Structure Fire,TRUCK,37.7796660426,-122.4137112207
7103,Structure Fire,RESCUE SQUAD,37.8008661593,-122.4354271774
6642,Structure Fire,TRUCK,37.7684381355,-122.3974224108
4475,Structure Fire,ENGINE,37.743923082100004,-122.43720578
6685,Structure Fire,MEDIC,37.7956493532,-122.4132086268
4450,Structure Fire,RESCUE SQUAD,37.7637491607,-122.4942673831
9368,Structure Fire,TRUCK,37.7862684417,-122.41299723590001
7089,Structure Fire,TRUCK,37.7956493532,-122.4132086268
9466,Structure Fire,TRUCK,37.7661343875,-122.42193507719999
6658,Structure Fire,RESCUE SQUAD,37.7804578378,-122.4286905391
9464,Structure Fire,TRUCK,37.7850617371,-122.4264301277
4546,Structure Fire,RESCUE SQUAD,37.7892141357,-122.4464639892
4515,Structure Fire,CHIEF,37.743923082100004,-122.43720578
5250,Structure Fire,ENGINE,37.777104530500004,-122.3927504061
7057,Structure Fire,ENGINE,37.7618358554,-122.4193592685
567,Structure Fire,MEDIC,37.7904950228,-122.40235333700001
9461,Structure Fire,RESCUE SQUAD,37.7331175479,-122.45764100299999
7073,Structure Fire,CHIEF,37.7804578378,-122.4286905391
5223,Structure Fire,TRUCK,37.7352738344,-122.39141347030001
561,Structure Fire,TRUCK,37.7852173616,-122.4170696114
2765,Structure Fire,CHIEF,37.8044072929,-122.4133588631
576,Structure Fire,ENGINE,37.7904950228,-122.40235333700001
9421,Structure Fire,MEDIC,37.7860598457,-122.4146435929
4542,Structure Fire,CHIEF,37.7637491607,-122.4942673831
526,Structure Fire,CHIEF,37.774283836500004,-122.4670880868
527,Structure Fire,TRUCK,37.774283836500004,-122.4670880868
3151,Structure Fire,ENGINE,37.786409613800004,-122.40803623629999
5237,Structure Fire,ENGINE,37.7537685477,-122.48718301209999
7066,Structure Fire,TRUCK,37.7904949924,-122.4087846268
9430,Structure Fire,TRUCK,37.7121958423,-122.4208388501
546,Structure Fire,ENGINE,37.786409613800004,-122.40803623629999
7064,Structure Fire,TRUCK,37.7907035506,-122.40071797559999
9435,Structure Fire,CHIEF,37.7331175479,-122.45764100299999
7063,Structure Fire,TRUCK,37.789016335599996,-122.4102424393
5232,Structure Fire,ENGINE,37.7498363176,-122.41828053889999
2772,Structure Fire,CHIEF,37.8044072929,-122.4133588631
7303,Structure Fire,CHIEF,37.7866710638,-122.4509262583
9401,Structure Fire,ENGINE,37.7121958423,-122.4208388501
6673,Structure Fire,TRUCK,37.7866710638,-122.4509262583
6656,Structure Fire,ENGINE,37.7866710638,-122.4509262583
472,Structure Fire,ENGINE,37.7833590027,-122.416694944
4496,Structure Fire,ENGINE,37.7690761306,-122.4471672894
7035,Structure Fire,TRUCK,37.7851285057,-122.4144553687
9498,Structure Fire,CHIEF,37.7661343875,-122.42193507719999
6650,Structure Fire,MEDIC,37.731677271799995,-122.39899409200001
596,Structure Fire,CHIEF,37.7986027829,-122.42314860209999
485,Structure Fire,RESCUE CAPTAIN,37.770259234,-122.4318322999
7043,Structure Fire,MEDIC,37.7804578378,-122.4286905391
592,Structure Fire,RESCUE SQUAD,37.774283836500004,-122.4670880868
488,Structure Fire,ENGINE,37.795312940900004,-122.3979747506
591,Structure Fire,TRUCK,37.7852173616,-122.4170696114
2793,Structure Fire,CHIEF,37.7848662437,-122.4127821283
4561,Structure Fire,CHIEF,37.7875021793,-122.45278022049999
4501,Structure Fire,TRUCK,37.7690761306,-122.4471672894
4502,Structure Fire,ENGINE,37.7796660426,-122.4137112207
4503,Structure Fire,CHIEF,37.7690761306,-122.4471672894
587,Structure Fire,ENGINE,37.7986027829,-122.42314860209999
6652,Structure Fire,ENGINE,37.781904293400004,-122.4173105329
493,Structure Fire,RESCUE SQUAD,37.7986027829,-122.42314860209999
494,Structure Fire,ENGINE,37.7833590027,-122.416694944
496,Structure Fire,CHIEF,37.7852173616,-122.4170696114
9392,Structure Fire,ENGINE,37.7850617371,-122.4264301277
2788,Structure Fire,TRUCK,37.766428605,-122.45210996360001
